[2026-04-28 20:11:21,458] [INFO] [extract:get_latest_data_url:65] - Checking for available data (2026-4): https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2026-04.parquet
[2026-04-28 20:11:22,070] [WARNING] [extract:get_latest_data_url:84] - No data found for 2026-4
[2026-04-28 20:11:22,072] [INFO] [extract:get_latest_data_url:65] - Checking for available data (2026-3): https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2026-03.parquet
[2026-04-28 20:11:22,105] [INFO] [extract:get_latest_data_url:81] - Data found for 2026-3: https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2026-03.parquet
[2026-04-28 20:11:22,105] [INFO] [extract:extract:138] - Downloading https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2026-03.parquet...
[2026-04-28 20:11:23,174] [INFO] [extract:extract:176] - Filed saved: data/raw/yellow_tripdata_2026-03.parquet (67.9 MB)
[2026-04-28 20:11:23,175] [INFO] [transform:transform:69] - Transforming data: data/raw/yellow_tripdata_2026-03.parquet...
[2026-04-28 20:11:26,376] [INFO] [transform:transform:79] - Data succesfully transformed: data/raw/yellow_tripdata_2026-03.parquet
[2026-04-28 20:11:26,437] [INFO] [load:load:14] - Loading transformed data...
[2026-04-28 20:11:38,302] [INFO] [load:load:32] - Filed saved: data/processed (0.0 MB)
[2026-04-28 20:11:38,360] [INFO] [__main__:<module>:24] - ✅ Pipeline completed
